Kabupaten ,Meninggal,Rumah Terendam,Rumah Rusak,Terluka,Cluster
BANDUNG,4,219904,257,5,1
BANDUNG BARAT,0,383,26,0,2
BEKASI,9,50809,83,266,3
BOGOR,13,20027,2590,2,1
CIAMIS,2,5576,57,0,2
CIANJUR,0,414,22,0,2
CIREBON,0,44259,3,0,2
GARUT,0,3365,1325,0,2
INDRAMAYU,2,85338,82,0,2
KARAWANG,1,78751,403,0,2
KOTA BANDUNG,0,2859,2,0,2
KOTA BANJAR,0,5,0,0,2
KOTA BEKASI,17,136356,300,0,1
KOTA BOGOR,1,700,18,1,2
KOTA CIMAHI,2,861,7,4,2
KOTA CIREBON,0,482,0,0,2
KOTA DEPOK,4,2029,0,1,2
KOTA SUKABUMI,0,16,0,0,2
KOTA TASIKMALAYA,0,15,3,0,2
KUNINGAN,0,110,24,0,2
MAJALENGKA,2,10644,13,2,2
PANGANDARAN,2,1047,0,0,2
PURWAKARTA,0,273,3,0,2
SUBANG,4,58440,0,1,2
SUKABUMI,3,703,374,24,2
SUMEDANG,1,2524,14,1,2
TASIKMALAYA,1,897,20,2,2
